index,model,emotion,file,similarity
1013,a2,happy,/srv/RL_project/repo/outputs/wav/001013_a2_happy.wav,0.6253389716148376
1014,a2,angry,/srv/RL_project/repo/outputs/wav/001014_a2_angry.wav,0.574282705783844
1015,a2,fearful,/srv/RL_project/repo/outputs/wav/001015_a2_fearful.wav,0.6164807081222534
1016,a2,fearful,/srv/RL_project/repo/outputs/wav/001016_a2_fearful.wav,0.6833999752998352
1017,a2,neutral,/srv/RL_project/repo/outputs/wav/001017_a2_neutral.wav,0.6078064441680908
1018,a2,sad,/srv/RL_project/repo/outputs/wav/001018_a2_sad.wav,0.5840978026390076
1019,a2,angry,/srv/RL_project/repo/outputs/wav/001019_a2_angry.wav,0.6380931735038757
1020,a2,disgusted,/srv/RL_project/repo/outputs/wav/001020_a2_disgusted.wav,0.6412000060081482
1021,a2,sad,/srv/RL_project/repo/outputs/wav/001021_a2_sad.wav,0.6030136346817017
1022,a2,angry,/srv/RL_project/repo/outputs/wav/001022_a2_angry.wav,0.5464651584625244
1023,a2,sad,/srv/RL_project/repo/outputs/wav/001023_a2_sad.wav,0.3105763792991638
1024,a2,surprised,/srv/RL_project/repo/outputs/wav/001024_a2_surprised.wav,0.5494250059127808
1025,a2,surprised,/srv/RL_project/repo/outputs/wav/001025_a2_surprised.wav,0.5429540276527405
1026,a2,fearful,/srv/RL_project/repo/outputs/wav/001026_a2_fearful.wav,0.6747819185256958
1027,a2,fearful,/srv/RL_project/repo/outputs/wav/001027_a2_fearful.wav,0.6408780217170715
1028,a2,surprised,/srv/RL_project/repo/outputs/wav/001028_a2_surprised.wav,0.6765049695968628
1029,a2,disgusted,/srv/RL_project/repo/outputs/wav/001029_a2_disgusted.wav,0.6462821960449219
1030,a2,happy,/srv/RL_project/repo/outputs/wav/001030_a2_happy.wav,0.6469069719314575
1031,a2,happy,/srv/RL_project/repo/outputs/wav/001031_a2_happy.wav,0.6488209366798401
1032,a2,sad,/srv/RL_project/repo/outputs/wav/001032_a2_sad.wav,0.6385160088539124
1033,a2,fearful,/srv/RL_project/repo/outputs/wav/001033_a2_fearful.wav,0.6532302498817444
1034,a2,angry,/srv/RL_project/repo/outputs/wav/001034_a2_angry.wav,0.6144390106201172
1035,a2,happy,/srv/RL_project/repo/outputs/wav/001035_a2_happy.wav,0.5343963503837585
1036,a2,surprised,/srv/RL_project/repo/outputs/wav/001036_a2_surprised.wav,0.5456898212432861
1037,a2,surprised,/srv/RL_project/repo/outputs/wav/001037_a2_surprised.wav,0.5362587571144104
1038,a2,disgusted,/srv/RL_project/repo/outputs/wav/001038_a2_disgusted.wav,0.6288267970085144
1039,a2,surprised,/srv/RL_project/repo/outputs/wav/001039_a2_surprised.wav,0.5806507468223572
1040,a2,fearful,/srv/RL_project/repo/outputs/wav/001040_a2_fearful.wav,0.6290172338485718
1041,a2,neutral,/srv/RL_project/repo/outputs/wav/001041_a2_neutral.wav,0.6432265043258667
1042,a2,disgusted,/srv/RL_project/repo/outputs/wav/001042_a2_disgusted.wav,0.6191728115081787
1043,a2,sad,/srv/RL_project/repo/outputs/wav/001043_a2_sad.wav,0.6151859760284424
1044,a2,disgusted,/srv/RL_project/repo/outputs/wav/001044_a2_disgusted.wav,0.6831813454627991
1045,a2,happy,/srv/RL_project/repo/outputs/wav/001045_a2_happy.wav,0.6259927749633789
1046,a2,surprised,/srv/RL_project/repo/outputs/wav/001046_a2_surprised.wav,0.6577615141868591
1047,a2,happy,/srv/RL_project/repo/outputs/wav/001047_a2_happy.wav,0.5811359882354736
1048,a2,sad,/srv/RL_project/repo/outputs/wav/001048_a2_sad.wav,0.4582941234111786
1049,a2,fearful,/srv/RL_project/repo/outputs/wav/001049_a2_fearful.wav,0.6390917897224426
1050,a2,fearful,/srv/RL_project/repo/outputs/wav/001050_a2_fearful.wav,0.6686917543411255
1051,a2,surprised,/srv/RL_project/repo/outputs/wav/001051_a2_surprised.wav,0.5988083481788635
1052,a2,happy,/srv/RL_project/repo/outputs/wav/001052_a2_happy.wav,0.6288161873817444
1053,a2,happy,/srv/RL_project/repo/outputs/wav/001053_a2_happy.wav,0.6012089252471924
1054,a2,disgusted,/srv/RL_project/repo/outputs/wav/001054_a2_disgusted.wav,0.3352801501750946
1055,a2,neutral,/srv/RL_project/repo/outputs/wav/001055_a2_neutral.wav,0.5350762605667114
1056,a2,neutral,/srv/RL_project/repo/outputs/wav/001056_a2_neutral.wav,0.17939209938049316
1057,a2,neutral,/srv/RL_project/repo/outputs/wav/001057_a2_neutral.wav,0.6158419847488403
